Date,High,Low,Open,Close,Volume,Adj Close
2020-07-20,86.79000091552734,85.15499877929688,85.55000305175781,85.86000061035156,549900,85.86000061035156
2020-07-21,86.9000015258789,85.31999969482422,86.9000015258789,85.9800033569336,981100,85.9800033569336
2020-07-22,86.91000366210938,84.26499938964844,86.41000366210938,85.04000091552734,889100,85.04000091552734
2020-07-23,85.9000015258789,83.08999633789062,85.13999938964844,83.4800033569336,904400,83.4800033569336
2020-07-24,82.86000061035156,80.83999633789062,82.83000183105469,81.63999938964844,954300,81.63999938964844
2020-07-27,83.76000213623047,82.0,82.0,83.25,563900,83.25
2020-07-28,83.62999725341797,80.63999938964844,83.04000091552734,80.68000030517578,526400,80.68000030517578
2020-07-29,82.29000091552734,81.16999816894531,81.16999816894531,81.5199966430664,755900,81.5199966430664
2020-07-30,90.98999786376953,85.51000213623047,88.30000305175781,88.0999984741211,1963300,88.0999984741211
2020-07-31,88.63999938964844,86.01000213623047,88.63999938964844,87.33999633789062,944000,87.33999633789062
2020-08-03,91.18000030517578,88.01000213623047,88.37000274658203,90.16999816894531,993400,90.16999816894531
2020-08-04,90.0,87.3499984741211,89.6500015258789,88.18000030517578,502900,88.18000030517578
2020-08-05,89.86000061035156,87.55000305175781,88.58999633789062,89.62000274658203,427900,89.62000274658203
2020-08-06,90.875,87.83000183105469,89.7300033569336,88.19000244140625,605600,88.19000244140625
2020-08-07,88.87000274658203,86.8499984741211,87.68000030517578,88.16999816894531,552400,88.16999816894531
2020-08-10,88.48999786376953,86.7300033569336,88.45999908447266,87.58999633789062,561200,87.58999633789062
2020-08-11,87.68000030517578,84.69000244140625,87.68000030517578,84.9000015258789,908100,84.9000015258789
2020-08-12,88.18499755859375,85.11000061035156,85.68000030517578,87.80000305175781,748400,87.80000305175781
2020-08-13,88.86000061035156,87.12999725341797,87.51000213623047,88.41000366210938,580700,88.41000366210938
2020-08-14,88.38999938964844,86.56999969482422,88.19999694824219,87.0199966430664,417000,87.0199966430664
2020-08-17,91.94999694824219,87.23999786376953,87.91999816894531,91.02999877929688,1284000,91.02999877929688
2020-08-18,91.43000030517578,87.72000122070312,91.0,89.0,738300,89.0
2020-08-19,89.44000244140625,86.94000244140625,89.44000244140625,87.12999725341797,846700,87.12999725341797
2020-08-20,86.87999725341797,85.51000213623047,86.5999984741211,86.54000091552734,774900,86.54000091552734
2020-08-21,87.1500015258789,85.69000244140625,86.26000213623047,86.48999786376953,591300,86.48999786376953
2020-08-24,89.68900299072266,87.9800033569336,88.0,88.45999908447266,885200,88.45999908447266
2020-08-25,88.69999694824219,87.52999877929688,88.22000122070312,88.3499984741211,673600,88.3499984741211
2020-08-26,88.73999786376953,87.25,88.30999755859375,88.70999908447266,645200,88.70999908447266
2020-08-27,89.54499816894531,86.51000213623047,89.05999755859375,87.70999908447266,526500,87.70999908447266
2020-08-28,88.1500015258789,87.30000305175781,87.8499984741211,87.66000366210938,639900,87.66000366210938
2020-08-31,93.08999633789062,87.0,88.0,92.5,1986700,92.5
2020-09-01,95.69999694824219,90.38999938964844,94.37999725341797,90.68000030517578,1432200,90.68000030517578
2020-09-02,90.88999938964844,88.1500015258789,90.66999816894531,89.44000244140625,1258100,89.44000244140625
