Date,High,Low,Open,Close,Volume,Adj Close
2020-07-20,48.709999084472656,47.400001525878906,47.91999816894531,48.59000015258789,2294500.0,46.67277145385742
2020-07-21,49.529998779296875,48.83000183105469,48.95000076293945,49.41999816894531,4469600.0,47.47001266479492
2020-07-22,49.720001220703125,49.150001525878906,49.54999923706055,49.470001220703125,3152600.0,47.51804733276367
2020-07-23,50.81999969482422,49.41999816894531,49.47999954223633,50.0,3574100.0,48.02713394165039
2020-07-24,49.66999816894531,47.72999954223633,49.5,48.040000915527344,4082000.0,46.144474029541016
2020-07-27,49.59000015258789,47.86000061035156,48.099998474121094,49.58000183105469,3403900.0,47.62370681762695
2020-07-28,50.06999969482422,48.31999969482422,49.56999969482422,48.56999969482422,4440300.0,46.65355682373047
2020-07-29,45.72999954223633,43.529998779296875,45.040000915527344,44.310001373291016,14154300.0,42.561649322509766
2020-07-30,44.459999084472656,43.68000030517578,44.029998779296875,44.400001525878906,3771400.0,42.648094177246094
2020-07-31,45.40999984741211,44.15999984741211,44.650001525878906,45.220001220703125,7369400.0,43.43573760986328
2020-08-03,45.58000183105469,44.65999984741211,45.41999816894531,44.7599983215332,3674800.0,42.99388885498047
2020-08-04,45.810001373291016,44.790000915527344,45.099998474121094,45.38999938964844,3177400.0,43.59903335571289
2020-08-05,45.79999923706055,44.720001220703125,45.65999984741211,45.130001068115234,3407400.0,43.34928894042969
2020-08-06,45.0099983215332,44.16999816894531,44.5,44.959999084472656,3215400.0,43.18599319458008
2020-08-07,45.529998779296875,44.459999084472656,44.95000076293945,45.310001373291016,2781300.0,43.52219009399414
2020-08-10,46.560001373291016,45.400001525878906,45.400001525878906,46.06999969482422,3625200.0,44.252201080322266
2020-08-11,46.79999923706055,45.68000030517578,46.380001068115234,45.779998779296875,3529500.0,43.97364044189453
2020-08-12,45.90999984741211,45.25,45.709999084472656,45.63999938964844,2517100.0,43.83916473388672
2020-08-13,45.650001525878906,44.54999923706055,45.650001525878906,44.900001525878906,2910300.0,43.12836456298828
2020-08-14,45.349998474121094,44.869998931884766,45.06999969482422,45.06999969482422,1948700.0,43.291656494140625
2020-08-17,45.439998626708984,44.83000183105469,45.20000076293945,44.900001525878906,1749800.0,43.12836456298828
2020-08-18,45.209999084472656,44.540000915527344,45.0,45.060001373291016,2218800.0,43.28205490112305
2020-08-19,46.0,45.11000061035156,45.18000030517578,45.400001525878906,2540100.0,43.608638763427734
2020-08-20,45.2599983215332,44.65999984741211,45.189998626708984,45.040000915527344,2159500.0,43.262840270996094
2020-08-21,44.93000030517578,44.5,44.810001373291016,44.84000015258789,3163500.0,43.07073211669922
2020-08-24,45.619998931884766,44.7599983215332,44.97999954223633,45.61000061035156,2051600.0,43.81034851074219
2020-08-25,46.209999084472656,45.150001525878906,45.52000045776367,45.439998626708984,1950500.0,43.64706039428711
2020-08-26,45.790000915527344,45.150001525878906,45.43000030517578,45.72999954223633,2073300.0,43.92561721801758
2020-08-27,46.15999984741211,45.310001373291016,46.04999923706055,45.54999923706055,2112800.0,43.752716064453125
2020-08-28,46.88999938964844,45.5,45.849998474121094,46.599998474121094,2181700.0,44.76128387451172
2020-08-31,48.20000076293945,46.63999938964844,47.2400016784668,47.9900016784668,4854300.0,46.096439361572266
2020-09-01,48.040000915527344,46.27000045776367,48.0099983215332,47.06999969482422,3031000.0,45.21274185180664
2020-09-02,48.849998474121094,47.06999969482422,47.099998474121094,48.59000015258789,3135800.0,46.67277145385742
2020-09-03,48.5,46.7599983215332,48.310001373291016,47.09000015258789,3026700.0,45.23195266723633
2020-09-04,47.72999954223633,46.150001525878906,46.95000076293945,47.0099983215332,3193200.0,45.15510559082031
2020-09-08,46.209999084472656,45.25,45.709999084472656,45.689998626708984,4418800.0,43.88719177246094
2020-09-09,46.72999954223633,46.060001373291016,46.61000061035156,46.22999954223633,2512700.0,44.405887603759766
2020-09-10,47.060001373291016,45.790000915527344,46.72999954223633,45.93000030517578,2639700.0,44.11772155761719
